datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-22-01,0.0,0.0,-77.6875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-06,0.0,0.0,-77.625,-48,-89,2462,11,216.0,60.0,21.0,None,True,True
2026-02-11T17-22-11,0.0,0.0,-77.75,-49,-89,2462,11,216.0,81.0,21.0,None,True,True
2026-02-11T17-22-16,0.0,0.0,-85.6875,-50,-89,2462,11,243.0,90.0,21.0,None,True,True
2026-02-11T17-22-21,0.0,0.0,-87.4375,-49,-89,2462,11,243.0,120.0,21.0,None,True,True
2026-02-11T17-22-26,0.0,0.0,-87.5625,-53,-89,2462,11,300.0,108.0,21.0,None,True,True
2026-02-11T17-22-31,0.0,0.0,-85.6875,-55,-89,2462,11,300.0,90.0,21.0,None,True,True
2026-02-11T17-22-36,0.0,0.0,-86.8125,-58,-89,2462,11,162.0,30.0,21.0,None,True,True
2026-02-11T17-22-41,0.0,0.0,-84.0625,-58,-89,2462,11,162.0,27.0,21.0,None,True,True
2026-02-11T17-22-46,0.0,0.0,-82.0,-56,-89,2462,11,162.0,30.0,21.0,None,True,True
2026-02-11T17-22-51,0.0,0.0,-86.6875,-58,-89,2462,11,162.0,27.0,21.0,None,True,True
2026-02-11T17-22-56,0.0,0.0,-81.6875,-59,-89,2462,11,162.0,27.0,21.0,None,True,True
2026-02-11T17-23-01,0.0,0.0,-80.3125,-63,-89,2462,11,162.0,27.0,21.0,None,True,True
2026-02-11T17-23-06,0.0,0.0,-81.0,-67,-89,2462,11,81.0,6.5,21.0,None,True,True
2026-02-11T17-23-11,0.0,0.0,-83.375,-66,-89,2462,11,81.0,6.5,21.0,None,True,True
2026-02-11T17-23-16,0.0,0.0,-84.375,-70,-89,2462,11,11.0,13.5,21.0,None,True,True
2026-02-11T17-23-21,0.0,0.0,-81.625,-71,-89,2462,11,27.0,6.5,21.0,None,True,True
2026-02-11T17-23-26,0.0,0.0,-80.5625,-71,-89,2462,11,54.0,6.5,21.0,None,True,True
2026-02-11T17-23-31,0.0,0.0,-83.125,-74,-89,2462,11,13.5,6.5,21.0,None,True,True
2026-02-11T17-23-36,0.0,0.0,-83.3125,-66,-89,2462,11,13.5,6.5,21.0,None,True,True
2026-02-11T17-23-41,0.0,0.0,-80.125,-66,-89,2462,11,54.0,6.5,21.0,None,True,True
2026-02-11T17-23-46,0.0,0.0,-81.75,-69,-89,2462,11,54.0,6.5,21.0,None,True,True
2026-02-11T17-23-51,0.0,0.0,-78.6875,-72,-89,2462,11,13.5,6.5,21.0,None,True,True
2026-02-11T17-23-56,0.0,0.0,-82.0,-69,-89,2462,11,27.0,6.5,21.0,None,True,True
2026-02-11T17-24-01,0.0,0.0,-79.875,-72,-89,2462,11,11.0,6.5,21.0,None,True,True
2026-02-11T17-24-06,0.0,0.0,-80.5625,-73,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-11,0.0,0.0,-80.0,-72,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-16,0.0,0.0,-80.1875,-74,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-21,0.0,0.0,-75.375,-74,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-26,0.0,0.0,-77.625,-74,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-31,0.0,0.0,-76.3125,-78,-89,2462,11,2.0,6.5,21.0,None,True,True
2026-02-11T17-24-36,0.0,0.0,-79.9375,-77,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-41,0.0,0.0,-77.0,-79,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-46,0.0,0.0,-78.25,-73,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-51,0.0,0.0,-77.5,-80,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-24-56,0.0,0.0,-76.5625,-83,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-01,0.0,0.0,-78.1875,-77,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-06,0.0,0.0,-74.875,-80,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-11,0.0,0.0,-80.5,-82,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-16,0.0,0.0,-77.8125,-83,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-21,0.0,0.0,-78.0,-83,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-25-26,0.0,0.0,-76.625,-83,-89,2462,11,1.0,6.5,21.0,None,True,True
