datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-25T14-06-02,44.56682383333334,-123.27441633333335,23.625,None,None,None,None,None,None,None,None,False,False
2026-02-25T14-06-07,44.56682466666666,-123.27441633333335,23.625,-27,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-12,44.56682516666667,-123.27441666666667,23.625,-33,-68,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-17,44.56682616666667,-123.27441716666665,23.625,-34,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-22,44.56682716666666,-123.27441750000001,23.625,-38,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-27,44.566828666666666,-123.27441716666665,23.6875,-36,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-32,44.566829000000006,-123.27441666666667,23.625,-88,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-37,44.56682916666667,-123.27441533333334,23.625,-33,-70,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-42,44.56682983333334,-123.27441366666666,23.625,-33,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-47,44.566829000000006,-123.27441183333333,23.625,-33,-78,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-52,44.566829000000006,-123.274411,23.625,-36,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-06-57,44.56682816666667,-123.27440999999999,23.625,-33,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-02,44.5668275,-123.27440866666666,23.625,-28,-78,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-07,44.5668275,-123.27440849999999,23.625,-33,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-12,44.566827333333336,-123.27440883333333,23.625,-34,-74,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-17,44.56682716666666,-123.27440983333332,23.625,-34,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-22,44.5668265,-123.27441133333332,23.625,-33,-68,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-27,44.56682550000001,-123.27441249999998,23.625,-35,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-32,44.56682466666666,-123.27441383333334,23.625,-33,-66,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-37,44.56682366666667,-123.27441416666667,23.625,-33,-62,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-07-42,44.56682366666667,-123.27441383333334,23.625,-34,-74,924,None,None,32.5,21.0,8,True,True
